Rise-Time_Crest_factor,Rise-Time_Crest_factor.1,Rise-Time_Crest_factor.2,Rise-Time_Crest_factor.3,Rise-Time_Crest_factor.4,Rise-Time_Crest_factor.5,Rise-Time_Crest_factor.6,Rise-Time_Crest_factor.7,Rise-Time_Crest_factor.8,Rise-Time_Crest_factor.9,Rise-Time_Crest_factor.10,Rise-Time_Crest_factor
2.219263367453087,1.1774227310175902,1.287076068253736,6.182077469984938,3.356080777503898,7.790140723320497,1.187494579860142,3.2044729476684948,2.175457067541961,1.2987231518107596,2.5919643203132865,5.693018336146269
1.7484802986807106,1.1805791905456695,1.279521558307534,9.031386985334173,4.7249431266003485,6.501812555435946,1.1774313034094066,3.2920559291591136,1.4142016367363217,1.295830759501411,4.020018725150801,12.714396810390172
2.7086005749552533,1.183735650073749,1.271967048361332,5.454667760516828,3.207332776276314,5.15672261360249,1.1673680269586713,4.940603945093673,1.28469036954583,1.2929383671920622,1.896431028763967,4.769038779663616
2.738748215519013,1.1868921096018283,1.2723691935665085,6.9604194665890775,3.7251590155337775,5.458823417901657,1.157304750507936,4.020625075155773,1.7581324872130577,1.2900459748827136,2.466561975645972,8.789320913074027
2.83482026758306,1.1900485691299076,1.2727713387716848,7.409166489413065,3.0105544256514127,6.801011152027838,1.1472414740572008,1.746198371968251,1.3834563456072544,1.287153582573365,1.2472746507113484,4.961186014512731
2.850025207462778,1.193205028657987,1.2731734839768614,6.630429506205976,3.419573002744772,5.303771657289468,1.1371781976064654,1.505240279406154,1.412213014382935,1.2842611902640164,1.8181043631432297,8.114526814796534
2.1728833237289984,1.1963614881860662,1.2735756291820377,7.977559056836784,3.1133368049156123,4.565743511026273,1.12711492115573,1.2876809436953849,1.377835182776357,1.0392328778404427,3.646534496139832,4.9827399711034746
2.5914100703273286,1.1995179477141455,1.2739777743872145,6.7782142957774925,3.198910112188894,4.122219759981698,1.1094671238228249,1.0076042308270916,1.918675723461942,1.050220015611993,4.062753113698887,8.437693082602584
6.143991653096267,1.202674407242225,1.2743799195923906,7.793565912883002,3.3752699210708466,3.177506905742373,1.0130262539111223,1.1250338550592485,1.1916330862297788,1.0612071533835434,1.826354102259452,9.130968091980812
2.4965115268361746,1.2058308667703044,1.2747820647975672,5.114521031761401,3.5962847148014268,4.1535492940703245,1.2067477292165767,2.758363451310674,1.7359785421390728,1.0704306740133518,5.132079584866879,11.023596050302553
8.454831398366156,1.2089873262983837,1.2751842100027435,3.6275366683406367,4.312570338078968,5.451740994325344,1.007434545505619,1.1690593363538542,1.5653780045748529,1.07965419464316,4.004624646561929,11.25238638334194
5.873306398097142,1.212143785826463,1.27558635520792,7.311013962081379,6.1029502923904415,5.349279220519231,1.01815743341957,1.1152934506113032,1.3947774670106328,1.088877715272968,4.819522479519033,11.366903826531246
2.6739086059439217,1.2153002453545425,1.3037016504742966,6.632073973500852,6.263308181803145,9.214431880909409,1.0288803213335207,1.1174512304951238,2.006107423032481,1.0981012359027764,5.455009396400527,8.180143195200067
2.5647008726173195,1.2184567048826218,1.4278876093512998,5.194816762458505,3.916751332939313,6.223123112072098,1.2760432465224971,1.3429644865168826,1.981902398195288,1.0667677434613156,5.165921656122211,9.62472276182163
