Counts_Median,Counts_Median.1,Counts_Median.2,Counts_Median.3,Counts_Median.4,Counts_Median.5,Counts_Median.6,Counts_Median.7,Counts_Median.8,Counts_Median.9,Counts_Median.10,Counts_Median
27.0,17.44736842105263,35.16666666666667,,74.0,70.0,67.2,59.0,7.0,52.0,46.0,67.0
28.0,17.24342105263158,51.0,,74.0,72.0,67.6,62.0,8.0,53.25,26.0,68.0
29.0,17.039473684210527,36.5,,75.0,72.0,68.0,63.0,9.0,54.5,31.0,68.0
31.0,16.835526315789473,20.75,,74.0,70.0,68.4,63.0,8.0,53.333333333333336,42.0,72.0
29.0,16.63157894736842,5.0,,73.0,40.0,68.8,63.0,9.0,52.16666666666666,34.5,72.0
31.0,16.42763157894737,3.5,,73.0,72.0,69.2,64.0,71.0,51.0,28.75,70.0
36.0,16.223684210526315,8.5,,58.0,74.0,69.6,64.0,76.0,27.0,23.0,70.0
37.0,16.019736842105264,13.0,,66.0,75.0,70.0,64.0,73.0,18.0,60.0,70.0
34.0,15.81578947368421,17.5,,67.0,78.0,70.4,63.0,69.0,12.5,52.5,70.0
31.0,15.611842105263158,22.0,,61.0,79.0,70.8,60.0,12.0,41.5,35.0,71.0
28.0,15.407894736842106,26.33333333333333,,52.0,83.0,71.2,60.0,9.0,9.5,63.5,71.0
26.5,15.203947368421051,30.666666666666664,,36.5,60.0,71.6,62.0,69.0,18.0,54.0,71.0
27.5,15.0,35.0,,,68.0,72.0,65.0,77.0,9.0,43.0,70.0
16.0,27.0,39.33333333333333,,,62.0,74.0,75.0,53.0,29.0,25.0,70.0
8.5,39.0,43.66666666666666,,,71.0,76.0,79.0,43.5,29.0,28.5,71.0
16.0,65.0,48.0,,,75.0,78.0,79.0,29.75,27.0,28.0,71.0
17.0,43.5,85.5,,,73.0,80.0,82.0,16.0,22.0,30.0,71.0
28.0,22.0,68.375,,,74.0,82.0,82.0,64.0,20.5,3.0,72.0
43.0,20.5,51.25,,,66.0,81.81818181818181,83.0,72.0,26.25,26.0,72.0
32.5,19.0,34.125,,,61.0,81.63636363636364,88.0,71.5,32.0,2.0,72.0
29.0,17.5,17.0,,,65.0,81.45454545454545,93.0,69.0,19.0,27.0,54.0
32.0,16.0,16.5,,,53.0,81.27272727272727,98.0,17.0,30.5,65.0,44.0
103.0,14.5,1.0,,,63.0,81.0909090909091,100.0,13.0,30.0,35.0,45.0
44.0,13.0,18.0,,,69.0,80.9090909090909,101.0,47.0,20.0,38.0,45.0
46.0,11.5,19.0,,,68.0,80.72727272727273,99.0,42.0,17.0,31.5,45.0
29.5,10.0,20.0,,,69.0,80.54545454545455,88.0,73.0,26.0,7.5,48.0
41.0,8.5,39.66666666666667,,,77.0,80.36363636363636,89.0,72.0,35.0,44.0,71.0
18.0,7.0,59.333333333333336,,,80.0,80.18181818181819,89.0,73.5,33.0,54.5,68.0
17.5,5.5,79.0,,,71.0,80.0,89.0,66.0,33.0,24.0,73.0
17.0,4.0,10.5,,,70.0,79.81818181818181,90.0,57.0,33.0,46.0,46.0
51.0,2.5,8.0,,,68.0,79.63636363636364,91.0,68.0,27.5,49.0,47.0
15.0,1.0,6.666666666666667,,,69.0,79.45454545454545,92.0,30.0,28.0,41.5,65.0
17.0,1.25,5.333333333333334,,,71.0,79.27272727272727,93.0,31.0,21.0,25.75,76.0
18.0,1.5,4.0,,,74.0,79.0909090909091,94.0,35.0,31.0,10.0,76.0
18.0,1.75,15.5,,,75.0,78.9090909090909,95.0,35.25,30.0,32.0,51.0
17.0,2.0,33.75,,,73.0,78.72727272727273,93.0,35.5,29.0,54.0,49.0
18.0,2.25,52.0,,,74.0,78.54545454545455,93.0,35.75,37.0,43.0,53.0
17.0,2.5,46.1,,,75.0,78.36363636363636,93.0,36.0,31.0,30.0,59.0
17.0,2.75,40.2,,,75.0,78.18181818181819,91.0,38.5,35.0,57.0,65.0
19.0,3.0,34.3,,,74.0,78.0,89.0,41.0,38.0,25.5,70.0
19.0,3.25,28.4,,,74.0,72.42857142857143,87.0,42.0,13.0,22.5,66.0
21.0,3.5,22.5,,,73.0,66.85714285714286,84.0,40.75,12.0,29.0,66.0
20.0,3.75,22.0,,,70.0,61.285714285714285,87.0,39.5,21.0,47.0,66.0
20.0,4.0,2.0,,,68.0,55.71428571428572,87.0,38.25,13.0,61.0,62.0
19.0,4.25,1.0,,,68.0,50.142857142857146,87.0,37.0,24.5,70.0,62.0
19.0,4.5,3.5,,,68.0,44.57142857142857,87.0,37.875,24.0,75.0,60.0
20.0,4.75,1.0,,,68.0,39.0,87.0,38.75,23.5,73.0,58.0
20.0,5.0,11.0,,,68.0,33.0,87.0,39.625,23.0,75.0,61.0
21.0,5.25,11.0,,,67.0,27.0,88.0,40.5,31.0,75.0,60.0
21.0,5.5,9.0,,,61.0,21.0,77.5,51.0,38.625,72.0,62.0
20.0,5.75,13.5,,,65.0,15.0,66.0,24.5,46.25,72.0,61.0
