Energy_Central_moment_4th_order,Energy_Central_moment_4th_order.1,Energy_Central_moment_4th_order.2,Energy_Central_moment_4th_order.3,Energy_Central_moment_4th_order.4,Energy_Central_moment_4th_order.5,Energy_Central_moment_4th_order.6,Energy_Central_moment_4th_order.7,Energy_Central_moment_4th_order.8,Energy_Central_moment_4th_order.9,Energy_Central_moment_4th_order.10,Energy_Central_moment_4th_order
4.901970663592821e+24,8.516011105484141e+17,7.05911761e+16,9.806863846255698e+23,2.3303522629953102e+26,1.4602566002506744e+30,2.0122336714971845e+26,5.162192038729118e+26,1.2141962349947006e+20,2.7734684629558504e+30,7.066158911608899e+18,5.971745951089852e+24
2.1997950011841244e+21,8.396279419920708e+17,2.643998294185164e+29,7.697230515462445e+21,2.145939953826124e+26,1.9800726662183354e+25,39062500000000.0,4.482375587033026e+25,8.97460794008203e+17,5.546936918286875e+30,3.442858451217377e+24,6.125697426853852e+24
1.6296288186208664e+21,8.276547734357275e+17,8.1758650118401e+17,7.392752548778474e+24,2.7302605654696183e+26,4.115544993683565e+25,1.3953790922265623e+24,5.11390381872098e+26,1.22856851665505e+19,8.3204053736179e+30,1.0756533956202896e+20,7.659533366894306e+24
8.113724124530242e+24,8.156816048793842e+17,2.15095259445809e+18,2.601918496356576e+25,8.006820651310297e+26,1.5843990195106534e+24,2.7907581844140624e+24,4.407967601423735e+26,9.433067156086968e+20,1.1093873828948923e+31,3.592561099692307e+17,5.231607134537902e+24
3.059050113649049e+23,8.037084363230409e+17,3.4843186877321697e+18,2.908912980473736e+22,5.798223552182203e+25,1.873318923262992e+20,1.356781857803636e+19,1.939722830025417e+27,4.566534150492613e+19,2.2685426395875253e+30,6.138572244045258e+17,6.162789112366344e+24
4.305065901937572e+21,7.917352677666976e+17,4.81768478100625e+18,5.395964032207595e+27,5.7075193780737966e+29,2.996310622897716e+20,1.0639591252429827e+28,3.610555904502549e+27,2.00602702529934e+21,1.8079562871620269e+22,1.2054481054011008e+22,8.522746505735427e+24
2.456788430221479e+23,7.797620992103543e+17,1355143691851.852,7.016013377875028e+24,4.678053137433998e+25,2.4745821845473444e+20,3.935060729299011e+24,2.0049760191538072e+27,7.838291769666493e+17,9.05278884728472e+22,7.730255131581808e+22,5.569825301471629e+24
2.9247843027200385e+19,7.67788930654011e+17,1.894126659868745e+19,3.64836806867922e+26,9.18316112222056e+24,1.7508815172244505e+19,1.9909516500295208e+24,1.21752179010427e+26,3.95433938198631e+18,1.6297621407407412e+23,5.984751847785607e+26,7.295835261741503e+24
4.913455118893331e+19,7.558157620976677e+17,3.7882531842231206e+19,8.782476866491795e+23,7.936520197816046e+24,5.073994720666667e+21,4.684257076003021e+22,2.947315730683559e+21,3.2710863296685466e+17,8.16007008065683e+22,8.712605326232562e+20,6.222487642668773e+24
6.8096025494885e+18,7.438425935413244e+17,5.682379708577496e+19,3.7230054323990993e+20,5.304327254193919e+25,1.152546628007893e+30,1.5215683990154835e+26,9.605679362064424e+24,3.584988818339657e+18,2.251875390625e+20,9.920027339166936e+26,7.427684872698612e+24
8.020267054116682e+20,7.318694249849812e+17,7.576506232931872e+19,2.356995367089864e+21,2.000622812073052e+25,4.607895967333936e+22,3.0426683723233666e+26,1.1718916778461642e+27,7.199831162644668e+17,6.88269138493456e+22,2.7264557118800622e+20,6.342241812912374e+24
3.7146887499027495e+21,7.19896256428638e+17,9.470632757286248e+19,3.681433527249244e+20,1.7885673872564244e+25,3.4467807323041e+21,4.56376834563125e+26,2.5775019095182326e+21,7.377400196215552e+16,7.774292877704558e+23,4.018692200613272e+28,8.015541056681149e+24
5.908598378255918e+18,7.079230878722947e+17,1.1364759281640623e+20,1.0521264429435817e+21,2.434214994890429e+26,2.5403877456800604e+18,3.437443371475e+26,2.561279226226273e+20,6.469733089041896e+16,3.887309765551927e+23,5.910892805730328e+25,1.151572600656893e+25
