RMS_Peak,RMS_Peak.1,RMS_Peak.2,RMS_Peak.3,RMS_Peak.4,RMS_Peak.5,RMS_Peak.6,RMS_Peak.7,RMS_Peak.8,RMS_Peak.9,RMS_Peak.10,RMS_Peak
81.3,35.143750000000004,62.475,,,111.1,47.2,76.3,30.5,49.9,89.8,111.3
92.0,35.125,65.6,,,119.3,47.06666666666667,81.8,32.4,53.3,92.4,111.1
80.0,35.10625,64.0,,,144.5,46.93333333333334,74.4,31.2,56.7,93.7,111.1
82.0,35.0875,61.1,,,,46.8,72.7,30.1,56.0,94.9,109.2
80.6,35.06875,57.7,,,,46.66666666666667,70.9,29.0,35.2,95.6,107.3
74.3,35.05,57.3,,,,46.53333333333333,69.0,30.0,23.0,107.9,109.5
75.1,35.03125,56.9,,,,46.4,68.2,29.9,22.9,101.7,106.1
74.0,35.0125,59.7,,,,46.266666666666666,67.2,47.6,28.5,124.7,107.3
72.0,34.99375,63.0,,,,46.13333333333333,69.6,60.4,29.4,138.8,106.0
70.9,34.975,60.9,,,,46.0,70.1,29.4,26.1,142.8,109.1
71.2,34.95625,58.8,,,,45.86666666666667,70.9,29.4,25.8,137.2,107.6
76.9,34.9375,56.7,,,,45.73333333333333,68.9,30.0,59.8,132.4,107.5
72.2,34.91875,54.6,,,,45.6,70.3,28.7,27.9,135.8,106.7
78.5,34.9,53.75,,,,51.93333333333333,69.0,28.7,29.8,142.8,108.2
77.4,39.2,52.9,,,,58.266666666666666,68.5,31.4,25.2,139.5,105.3
81.1,38.75454545454546,52.05,,,,64.6,67.4,28.6,25.1,138.5,104.5
78.8,38.30909090909091,51.2,,,,81.9,69.8,29.6,27.1,136.5,104.5
80.0,37.86363636363637,50.35,,,,70.4,68.3,33.8,28.1,131.7,103.9
80.0,37.41818181818182,49.5,,,,70.8,72.0,32.4,28.3,134.8,103.3
82.0,36.97272727272727,56.3,,,,72.4,77.9,34.7,37.8,136.0,103.4
86.7,36.52727272727272,52.81,,,,54.9,69.8,32.3,57.6,138.3,105.6
85.5,36.08181818181818,49.32,,,,47.7,72.6,24.9,29.1,138.2,100.4
81.9,35.63636363636363,45.83,,,,72.7,73.9,24.1,29.1,141.5,103.2
82.3,35.19090909090909,42.34,,,,53.2,73.5,24.8,28.4,148.5,104.7
80.4,34.74545454545454,38.85,,,,66.9,71.5,33.1,41.2,150.6,103.4
83.5,34.3,35.36,,,,68.7,72.0,35.0,30.9,157.1,102.2
82.5,29.35,31.87,,,,69.2,72.8,36.5,30.2,154.5,104.0
78.0,24.4,28.38,,,,71.0,72.2,53.2,30.8,158.5,103.8
77.2,21.6,24.89,,,,69.0,75.5,37.5,29.6,161.8,102.3
80.7,28.5,21.4,,,,69.9,77.4,39.2,30.5,166.3,99.7
78.4,31.1,22.75,,,,58.6,74.6,33.0,57.3,160.7,107.1
81.5,31.066666666666663,24.1,,,,61.1,75.7,29.8,29.8,164.6,103.6
81.6,31.03333333333333,30.15,,,,59.1,76.3,35.9,29.9,175.7,103.1
72.6,31.0,36.2,,,,60.5,80.4,36.5,35.3,191.9,104.0
77.4,31.5,52.6,,,,59.6,77.2,35.9,29.8,181.9,103.2
79.7,48.7,61.4,,,,62.1,80.4,36.8,32.6,,104.8
79.5,46.3,58.4,,,,64.0,76.4,35.8,46.9,,104.6
87.5,43.9,24.1,,,,61.7,77.0,36.1,46.4,,108.0
81.8,44.6,55.7,,,,70.9,75.7,33.9,50.2,,107.9
79.4,44.0,46.4,,,,70.3,77.4,38.4,27.0,,108.2
84.8,51.4,25.8,,,,68.4,76.0,36.5,27.9,,109.2
75.0,46.1,23.6,,,,73.0,75.7,29.7,48.0,,110.0
76.6,51.8,18.8,,,,68.9,73.7,31.9,28.1,,110.6
79.6,51.2,25.8,,,,66.4,75.3,31.3,25.5,,115.2
74.4,51.2,35.63333333333333,,,,54.0,71.0,31.8,49.2,,116.9
82.6,49.400000000000006,45.46666666666667,,,,52.2,72.2,32.9,29.1,,115.8
75.6,47.6,55.3,,,,53.49,71.5,29.9,45.9,,115.1
78.7,40.8,58.3,,,,54.78,72.7,33.6,45.3,,113.2
68.2,51.6,35.2,,,,56.07,74.3,30.6,47.5,,114.1
81.5,47.5,44.5,,,,57.36,70.9,32.2,55.3,,114.7
88.0,43.3,46.6,,,,58.65,72.4,28.3,50.3,,117.7
78.7,27.7,11.9,,,,59.94,71.7,32.7,64.4,,114.4
83.0,45.6,38.8,,,,61.23,71.3,34.7,54.5,,117.5
93.9,43.1,26.5,,,,62.52,67.4,32.6,41.2,,119.3
84.1,48.4,23.1,,,,63.81,71.7,35.8,41.7,,120.6
86.1,46.9,19.7,,,,65.1,71.6,33.9,29.8,,116.5
79.9,45.4,19.9,,,,59.375,74.8,32.8,45.9,,116.8
83.2,43.9,40.6,,,,53.65,73.4,30.8,36.2,,112.8
76.2,42.4,51.8,,,,47.925,74.9,35.9,22.9,,115.9
89.4,48.1,53.3,,,,42.2,73.2,32.4,32.8,,113.3
83.7,48.9,66.1,,,,44.8,72.3,31.3,30.6,,112.6
84.6,45.8,68.7,,,,47.4,73.1,38.4,28.8,,113.8
90.1,50.2,61.9,,,,50.0,70.1,33.5,52.1,,114.2
88.9,48.1,68.3,,,,49.75,70.6,49.5,44.8,,113.4
95.7,36.5,62.7,,,,49.5,69.4,35.8,50.1,,117.2
86.9,32.15,78.5,,,,52.8,67.6,50.9,56.8,,118.5
89.6,27.8,74.3,,,,52.5,67.9,32.2,62.3,,114.6
91.7,52.3,63.3,,,,49.95,73.1,56.1,51.2,,114.9
90.6,52.85,56.4,,,,47.4,70.4,37.1,24.1,,109.7
87.9,53.4,58.0,,,,52.0,71.7,44.3,55.6,,107.6
87.6,44.9,70.8,,,,52.43333333333333,69.4,51.4,43.8,,111.2
89.1,42.9,57.5,,,,52.86666666666667,69.5,38.5,56.9,,108.4
85.1,52.0,53.3,,,,53.3,67.7,55.2,51.4,,114.3
83.9,47.6,80.5,,,,59.2,68.0,54.2,58.8,,114.5
86.6,44.0,71.9,,,,58.2,67.4,53.2,45.8,,112.3
86.7,47.43333333333333,83.0,,,,57.2,68.4,56.2,60.7,,116.9
83.5,50.86666666666667,77.5,,,,56.2,68.1,57.3,56.9,,116.3
90.2,54.3,70.0,,,,55.2,68.9,56.7,56.9,,117.7
85.7,52.5,70.1,,,,54.2,66.4,54.8,44.2,,115.5
87.6,49.4,63.4,,,,53.2,66.9,55.8,59.6,,111.5
80.8,49.9,108.7,,,,52.2,67.4,54.9,53.3,,113.9
88.3,50.4,,,,,51.2,70.0,54.7,50.7,,115.7
93.7,49.2,,,,,50.2,69.7,54.7,57.6,,119.2
87.8,51.9,,,,,49.2,70.2,59.0,54.8,,118.5
79.0,56.2,,,,,48.2,73.1,57.7,45.3,,112.2
86.7,61.7,,,,,47.2,73.4,48.7,56.5,,112.9
85.9,62.4,,,,,49.925,72.2,51.0,23.8,,122.9
92.8,39.0,,,,,52.650000000000006,74.1,52.5,54.4,,115.1
91.6,42.2,,,,,55.375,74.6,52.2,50.3,,120.1
95.8,32.4,,,,,58.1,73.2,50.4,51.3,,118.3
93.7,61.2,,,,,60.825,74.3,49.7,55.9,,118.4
90.2,56.1,,,,,63.55,72.8,56.9,57.6,,115.4
90.6,54.2,,,,,66.275,73.4,57.4,54.8,,117.4
85.2,59.6,,,,,69.0,73.4,55.5,43.9,,117.6
86.2,67.4,,,,,70.3,74.1,54.6,50.3,,118.3
92.9,70.8,,,,,42.9,73.0,55.8,57.1,,118.7
