Amplitude_Median,Amplitude_Median.1,Amplitude_Median.2,Amplitude_Median.3,Amplitude_Median.4,Amplitude_Median.5,Amplitude_Median.6,Amplitude_Median.7,Amplitude_Median.8,Amplitude_Median.9,Amplitude_Median.10,Amplitude_Median
66.2,70.7578947368421,67.79,74.1,88.7,86.3,67.15,80.0,73.65,76.65,69.88333333333333,89.2
66.6,70.7,66.345,72.1,88.3,80.8,69.25,79.8,77.5,76.15,71.91666666666666,89.0
73.7,70.6421052631579,64.9,77.0,88.4,72.9,71.35000000000001,80.5,74.0,77.140625,73.94999999999999,88.6
73.8,70.58421052631579,64.825,72.1,88.6,83.8,73.45,80.3,75.8,78.13125000000001,73.33749999999999,88.3
71.4,70.52631578947368,64.75,73.85,88.5,85.0,75.55,81.4,76.2,79.121875,72.725,88.3
66.1,70.46842105263158,64.67500000000001,,89.1,84.8,77.65,81.5,77.2,80.11250000000001,72.1125,87.95
63.0,70.41052631578948,64.60000000000001,,89.0,79.6,79.75,81.2,78.4,81.103125,71.5,88.0
68.05,70.35263157894737,64.525,,87.3,76.7,79.925,81.3,78.1,82.09375,76.4,87.6
66.6,70.29473684210527,64.45,,87.0,80.5,80.1,82.7,77.9,83.08437500000001,81.30000000000001,87.7
65.9,70.23684210526316,67.26666666666667,,86.6,75.6,81.43333333333332,83.6,78.1,84.075,80.5,86.9
65.9,70.17894736842105,70.08333333333334,,86.6,75.9,82.76666666666667,81.1,79.3,85.065625,80.875,86.7
67.15,70.12105263157895,72.9,,86.5,77.3,84.1,82.2,79.1,86.05625,81.25,87.0
65.7,70.06315789473685,78.65,,86.5,77.5,83.3,84.8,78.1,87.046875,72.6,81.6
63.4,70.00526315789475,79.775,,86.4,77.6,85.6,83.7,77.8,88.0375,76.7,87.5
65.69999999999999,69.94736842105263,80.9,,86.4,77.45,86.7,84.0,72.5,89.028125,82.4,87.9
70.5,69.88947368421053,82.025,,86.5,77.8,86.706,84.2,69.2,90.01875,76.45,87.9
70.7,69.83157894736843,83.15,,86.7,74.0,86.712,82.8,68.1,91.009375,80.44999999999999,87.8
71.9,69.77368421052631,84.275,,86.7,77.7,86.718,76.0,75.9,92.0,76.85,87.9
72.6,69.71578947368421,85.4,,86.8,77.4,86.724,73.0,80.85,73.05000000000001,77.0,88.0
73.2,69.65789473684211,82.4,,86.8,78.1,86.73,68.8,82.2,73.82222222222224,78.0,88.5
73.2,69.6,81.8,,87.1,78.6,86.736,68.55,74.7,74.59444444444445,75.94999999999999,83.1
73.5,69.5421052631579,72.80000000000001,,87.0,78.4,86.742,66.5,72.4,75.36666666666667,75.65,82.0
74.6,69.48421052631579,73.7,,87.4,78.2,86.748,69.30000000000001,75.0,76.1388888888889,76.4,81.7
74.8,69.42631578947369,75.1,,88.1,78.5,86.754,64.05,64.2,76.91111111111111,75.4,88.0
74.3,69.36842105263158,74.9,,87.9,78.7,86.76,64.8,63.45,77.68333333333334,77.8,80.5
73.5,69.31052631578947,67.5,,87.8,78.2,86.766,77.9,64.7,78.45555555555556,75.9,81.45
