Energy_Root_standard_squared,Energy_Root_standard_squared.1,Energy_Root_standard_squared.2,Energy_Root_standard_squared.3,Energy_Root_standard_squared.4,Energy_Root_standard_squared.5,Energy_Root_standard_squared.6,Energy_Root_standard_squared.7,Energy_Root_standard_squared.8,Energy_Root_standard_squared.9,Energy_Root_standard_squared.10,Energy_Root_standard_squared
10418909.959299965,84544.80212193503,301131.8095245436,1742770.4868972276,230070983.67552203,40737969.65179659,12111541.768082213,45561664.634563126,78238.8063814882,3655169.972465953,252393.0565605956,58110335.09079901
21340185.541309148,83850.00226744033,400578.6171277743,2683454.0766146905,212456652.0278045,29132513.71185568,9131570.96369986,49855305.63540856,212295.27126151448,5801325.365810816,1086631.3314551536,62080161.23708282
11137420.812288633,83155.20241294563,214201.4238981618,17241297.54867043,232933333.91484576,24416066.37974807,6151600.1593175065,69613119.23050137,188925.9169621786,923716.9479878563,449291.5784877344,72697769.64078128
7377820.3197150305,82460.40255845092,83433.56638667677,11550266.100683568,253380386.71347213,218814871.38330063,3171629.3549351543,87125349.49714692,327756.601764175,39131245.09540117,269887.4181950689,79220193.23477632
2441934.710449893,81765.60270395622,43500030.616311066,8726622.967803754,268011748.3252674,88867832.27790019,191658.55055279948,60111667.75260856,231973.2096600812,77338773.24281448,3293486.2789451545,84739375.71023579
2087028.4617129683,81070.80284946153,64967.342565322775,9903768.78906712,236647046.4815102,97353557.31374176,1615757.3163362388,23971840.89718601,528647.060050465,115546301.3902278,359743.1202955798,87040464.8642653
8473966.113928,80376.00299496682,93308.10603524272,9651433.845750589,162657363.60020104,28190886.09308512,3039856.082119678,30563296.87975432,438273.6473939541,153753829.5376411,262273.8263723622,85487098.50305308
5988779.890762392,79681.20314047212,121648.86950516269,3903679.418189972,127355543.67851289,4119541.0339624,506982.7610481445,55334460.20555364,904647.8375589034,73859973.12482587,1042785.51006427,84976812.36361305
3460909.5480812555,78986.40328597742,149989.63297508264,22270914.433179434,239378332.70471764,1563576.8097538413,20049781.395317007,45808706.83303448,1198779.3214766427,1044414.8409516212,731525.4335974929,87530193.50220472
4364484.8630737625,78291.60343148271,9004.754299812961,3734788.506515463,115059079.5173798,2652684.489342824,3292844.3039415027,22867100.800276365,1478700.5705686328,2205247.8240312333,5161602.505462814,84426507.12315474
2115190.23494342,77596.80357698802,48080.107755058736,12074951.495377734,129883102.30934352,2125311.9770988915,2119903.1890778355,12373586.555308044,1192920.558712943,3366080.807110845,24666304.495809663,89014329.16828223
2734008.2790657384,76902.00372249332,87155.46121030452,3483798.148572905,129199775.14726758,1429001.3995794405,946962.0742141684,8611011.672184633,744566.9933592275,2037100.0736676792,413459.1394563676,73288936.57325521
2373290.131863359,76207.20386799861,126230.8146655503,1083052.408704214,145724371.25179467,78532621.47957943,4312847.582515698,12198282.653148351,793601.8694534432,708119.3402245133,11100116.5527034,81532069.01985133
2828677.863172122,75512.40401350391,165306.16812079606,2049473.217683022,141097467.45446342,5210937.823482449,7678733.090817228,29598318.37701595,890972.4053527135,1113295.7199235072,261133.7205341356,89143431.53941967
2820436.319419391,74817.6041590092,204381.52157604185,1554157.160650106,132230435.83255067,577499.7489176943,11044618.599118758,10103903.618117107,1034312.938449481,1883410.443849136,43824879.54815164,95389166.31291732
2273091.8528955225,74122.80430451452,243456.87503128764,2676910.060775483,108171457.8976178,448506.1315076975,9251906.642532632,9612616.198725509,1021394.1450781868,1063267.387091202,87718227.9813774,97953874.0289173
2215499.5460617905,73428.0044500198,220609.10074326847,5571224.212127888,108153869.81373684,7722265.0410630815,7459194.685946504,11319323.24348501,1292237.3012724868,243124.33033326795,26607271.2413374,98460349.46503034
2966599.888121079,72733.20459552511,197761.3264552493,3082134.462884447,114697834.44125926,26345313.96535912,5666482.7293603765,12069910.926386325,1660674.9150872366,16722051.8040297,62250.957422356165,96142451.09943672
2507488.999577067,72038.4047410304,174913.55216723017,1995329.3268530888,108238782.8253767,8337591.51314245,3873770.772774249,14013117.843292406,1440372.1546878084,33200979.27772613,738919.4475719258,86000091.09758721
2239620.6451316704,71343.6048865357,152065.777879211,794533.921679874,133795026.22385149,27220002.84369199,3104306.1856875387,10811024.08002128,6579690.262390777,1070379.4887795637,48400.41322137653,95294308.3055776
2740852.23186147,70648.80503204101,129218.00359119184,18486402.64206706,196662927.13645723,17748969.10716048,2334841.598600828,12170287.0941486,895308.301313017,927143.3905716452,42042.99226764217,100462122.56598604
1250978.2911385794,69954.00517754629,106370.2293031727,17032448.229409065,191418581.9450906,8472769.364099616,1565377.011514118,12239553.347222276,1075548.343869303,783907.2923637267,35685.57131390781,101615700.71165332
1172975.719995943,69259.2053230516,83522.45501515354,1347638.1386707637,170559594.63293275,27196322.26802558,795912.4244274078,9687559.486872844,3678886.795472239,640671.1941558081,32801.292657454826,98664543.9783208
1076561.0883735302,68564.4054685569,60674.68072713437,2151394.042950059,155446966.1797019,157741262.99418202,26447.83734069763,9406825.339874234,2502398.2620076686,497435.0959478896,44722.5303221603,84884149.33418311
1085004.3194384067,67869.6056140622,37826.906439115206,26207119.829336453,120840873.70474464,11823727.438709842,83683.77917233002,8987650.860319396,2804589.7145571937,354198.99773997103,56643.76798686579,77027677.52528505
871389.126165802,67174.80575956749,14979.132151096072,43814260.207639016,120161741.94115552,21112857.83305993,140919.72100396242,8819589.153269896,2744191.0490525253,741306.3442514635,68565.00565157126,77854373.19869642
781552.7483158127,66480.00590507279,13112.045498996991,2971179.2591326428,113425494.053417,57378196.987354,198155.6628355948,4534556.183012842,3607388.607441677,1128413.6907629562,384055.35804384906,71139393.46132633
301213.92680286214,65785.2060505781,11244.958846897913,12362933.269871676,107944664.8799086,31692676.435584627,255391.6046672272,6146257.752234281,3601014.6935134823,1515521.037274449,699545.7104361269,65726604.868585125
220172.7349151116,65090.40619608339,9377.87219479883,,112679156.4227184,31010993.21614709,312627.5464988596,6995316.381251101,3555893.0031709336,1902628.3837859407,1015036.0628284046,57271334.55712431
218020.78387163,64395.60634158869,7510.785542699751,,118429659.27988182,8064034.762697579,369863.488330492,4099939.292135921,5317818.901034521,2289735.7302974337,1330526.4152206825,64442461.910562426
347642.4528161082,63700.80648709399,5643.698890600672,,118342009.08662952,8895371.468709275,511263.2473947074,7655382.583465637,11788093.65725434,2676843.076808926,1470424.5268501567,58364429.14219824
316562.57485685195,63006.00663259929,3776.612238501591,,134557745.97289053,7098220.876793776,652663.0064589229,9837128.950558135,8916354.032792777,3063950.4233204187,1610322.638479631,52354367.89086561
293457.9405979671,62311.20677810458,37962.9003844721,,98937730.56682514,4497837.333615234,3095323.303082004,10367846.966641627,9107756.163702233,3451057.769831911,593641.3058404882,53465705.09882573
1955551.1637387555,61616.40692360989,72149.18853044261,,92739800.3317167,6184310.296035849,5537983.599705084,8469122.016844485,14676329.262077082,3838165.116343404,488771.1673764445,49587531.06767265
397549.4220848522,60921.60706911518,106335.47667641312,,85844386.0804327,10709728.988289108,7980643.896328165,8994994.088319346,9766205.70303534,4225272.462854896,383901.0289124008,47575654.548695385
315260.11149525404,60226.80721462048,606548.9592769903,,90627909.95531882,23710504.86915452,6516913.046067134,13071034.86495419,9600432.02879433,4612379.809366388,919168.935778402,41268209.67291288
52268.32405960612,59532.00736012578,650151.9718340737,,84613204.85462101,8303935.123662757,9050165.02611969,13684582.048034934,6778561.016358044,4999487.155877881,324855.44477505685,45171792.11242011
321862.11380030424,58837.20750563108,693754.984391157,,88034067.40443213,19624817.47676989,7918488.365843572,18387164.329096533,5140443.370306106,5386594.502389373,1211980.758923177,111029891.42881794
295898.6649175694,58142.40765113638,737357.9969482406,,90213082.63004898,12094104.29051693,7652467.56936448,11696471.514875758,3016104.171870229,5773701.848900866,541975.7097878096,44764748.79384894
1025813.8554825628,57447.60779664168,780961.009505324,,122880531.2638968,6951867.22798422,7386446.772885387,10051027.122961514,751524.3261538511,6160809.195412358,923245.3032645223,43939367.9533377
527067.9981748086,56752.807942146974,824564.0220624073,,89029374.12185517,4107242.171360242,7120425.976406295,7436796.531611309,5015701.255058957,6547916.541923851,579258.2843602671,53118417.44715598
561046.2864149446,56058.00808765228,868167.0346194907,,85937757.87047546,4356581.330877343,6854405.179927202,8072574.583371528,4376843.870393368,167194.38866182082,152307024.11660108,47966589.30530188
406593.02318165766,55363.20823315757,1409499.9680737846,,89095073.39982414,56007899.198675536,6588384.38344811,3079634.1927115303,4916415.215022018,3026730.7373269745,195017144.8901096,50472386.889956966
325419.4594673158,54668.40837866287,30925141.62942508,,122949167.05372012,13691224.4361087,6322363.586969018,1779391.56998256,2113618.9155096053,5886267.085992128,534885.0717677583,48104495.63084411
349869.3613336269,53973.60852416817,3922095.7595270416,,96775674.06480166,5035122.992698391,6056342.790489925,1971016.8590762992,2127966.221771389,8745803.434657281,542512.6634466702,45292228.844646186
573481.9439180278,53278.80866967347,196202.5300652364,,134090081.165047,6004123.988185121,5790321.994010832,2348767.760161485,2320937.0240056063,11605339.783322437,600202.5241533061,45377856.4914144
