Energy_Root_mean_squared,Energy_Root_mean_squared.1,Energy_Root_mean_squared.2,Energy_Root_mean_squared.3,Energy_Root_mean_squared.4,Energy_Root_mean_squared.5,Energy_Root_mean_squared.6,Energy_Root_mean_squared.7,Energy_Root_mean_squared.8,Energy_Root_mean_squared.9,Energy_Root_mean_squared.10,Energy_Root_mean_squared
322489.5306628055,62729.98902657884,150714.55692864617,262705.8889729119,6922847.62945349,728495.2560812162,2825062.698419276,6745565.209824896,23241.995321220333,8009692.187129952,29904.275633936966,1216159.9121470456
404491.58286647033,62238.69133789821,136533.7744249893,434045.7397167993,6711272.456478343,1138090.1119795302,110685.74132801993,8919336.384813309,155411.0034714402,1280746.852426349,249532.47831269723,1187815.751580819
275148.55041725445,61747.39364921759,122352.99192133246,942611.1617837658,8010647.481758173,1203068.99058688,966500.3416582592,8833812.743546,964032.4117624736,1227318.7497712334,166182.483002241,1348867.7688531382
477466.0362909517,61256.09596053696,108172.20941767562,566382.7256262067,7869297.798355026,1017092.1309065128,151856.39724626482,8163455.279751338,863855.5229375085,1173890.6471161176,221782.4254491217,1445224.797783763
337083.0572239538,60764.79827185633,93991.42691401878,97947.07509002804,6175160.074969837,535791.1603786125,616870.6941922086,8531502.921834063,763678.6341125434,1120462.544461002,31781.439140493767,1462692.224299119
396174.9763514408,60273.50058317569,142612.83252218223,57583.93303365238,5637045.437080407,3768392.100979768,1081884.9911381523,8356082.282452173,3163.834698589672,1067034.4418058866,285082.0258625445,1481222.9791044316
763951.5435992926,59782.202894495065,97835.38325779643,78810.80565464713,5558827.122519933,1873133.840227464,6992601.900103661,8610345.281512897,20201.17294284336,2584595.473920122,19891.35943378993,1690940.9082704352
565117.0731873034,59290.90520581444,53057.93399341066,100637.3904763268,5598724.37051411,1295098.2040163446,5278332.190269813,8309217.605901426,80240.07032470925,4102156.506034357,84851.65140968807,1789863.9567183873
493173.28289434366,58799.60751713381,28623.86928521619,706824.2874867544,5637867.722790825,1123840.548905834,3564062.480435965,11006800.589862617,77128.68262412715,653166.5178191545,43434.656314501655,1989667.2619539832
406135.6418809615,58308.30982845317,58996.44057059714,532774.0469459346,6247266.65439419,8752594.855332026,1849792.7706021173,12987880.269269845,109252.20058805832,11150784.815228112,31163.914709163226,2108979.656652105
121042.20972814498,57817.01213977255,25114754.38608416,471881.7265031592,6199393.178694001,3646291.325062669,135523.06076826926,13117441.315541178,115986.6048300406,21648403.11263707,672280.0715227744,2433071.4333877326
95160.30680742886,57325.71445109192,45938.84848360917,567088.1512049509,5615385.908478467,3595835.684838806,1142512.9551331322,7580561.694228206,77944.75664937594,32146021.410046022,64611.77177274202,2484842.8088448187
391709.22218348365,56834.41676241129,65978.79451719356,605584.819442311,3930022.595694161,1129444.002132878,2149502.849497995,8822863.840424303,103302.08936254226,42643639.70745498,72741.6714767455,2455552.744814614
188255.6829265725,56343.11907373066,86018.74055077795,487959.9272737465,3019464.167575871,286327.8949602486,152861.0539613731,11066892.04111073,98705.17125932832,30153207.76191703,87508.61607478399,2474819.5228070854
132428.02349036132,55851.821385050025,106058.68658436234,4454182.886635887,5611114.665098628,319163.7797954732,8966534.826787882,12705049.33455411,89104.56522957385,602993.1895690586,365762.7167987464,2637935.8440430984
236697.4248722965,55360.5236963694,5198.897318983452,880298.0930848873,2661437.3331171144,275070.5676809154,1901124.5452801525,7622366.933425455,81276.73396853582,1273200.424834269,689748.1479341364,2434142.551825365
89065.57598893713,54869.22600768877,33024.08230933776,1742869.1240770023,2958774.015865134,255857.49543645285,1223926.6768700343,1045758.9323470164,81546.37059945663,1943407.66009948,7437170.634296108,2554762.7772146026
100982.8998937015,54377.92831900814,60849.26729969207,428825.9083788778,2925048.847923632,825034.342719542,546728.8084599164,424234.0957608994,75992.05054368077,1222061.8237307884,206729.5697281838,2223942.2598146573
88756.01860809687,53886.63063032751,88674.45229004638,141001.4136243598,3199836.692488749,15113610.050467389,2205255.638826404,567515.4701366054,86589.06281973491,500715.9873620973,3510165.0599879203,2304232.5062843403
100639.84195817822,53395.33294164688,116499.63728040068,191114.3629849165,3072422.443133025,813811.7628608791,3863782.4691928914,1314507.4678869543,60483.1479405018,787218.9530238713,130566.86026706776,2564814.0313513097
101444.04349719506,52904.03525296625,144324.822270755,229147.9719383924,2853746.60056002,408353.9885932302,5522309.299559379,446098.2424954226,56937.05335171252,1087387.5267508512,10629094.553352963,2367042.418089576
86913.83926453689,52412.73756428562,172150.0072611093,270408.75094297674,2497446.916363033,124393.2195777691,4826524.370217266,426490.87782289286,54910.48942192114,629651.1947004716,6707980.548724313,2379231.85309472
76670.52333213823,51921.43987560499,155799.8271329646,288467.0551059537,2513847.071031817,776116.8385722629,4130739.440875151,494959.4469173552,59354.42502139376,171914.86265009202,5547999.572545123,2376855.233773601
95350.13172534856,51430.14218692437,139449.6470048199,167894.56249866227,2731675.214153028,1784329.812682676,3434954.5115330378,503788.3483659612,76438.75877048816,9670254.59300223,25413.846947415623,2363285.5034123627
93906.20102241827,50938.84449824373,123099.4668766752,117780.56610162609,2679309.121733315,454177.5500870133,2739169.582190924,533470.279098245,72018.60773439042,19168594.323354367,301662.6012617408,2079092.95355515
72932.08271669984,50447.5468095631,106749.2867485305,91744.87471243284,3130189.968742566,1465475.6905015567,2195075.954779004,393975.6190318135,342061.8086592586,756872.5949590195,34224.26040106638,2242995.276211519
80858.48642900266,49956.24912088247,90399.1066203858,1063772.9346242798,4170182.941890044,998457.5198188012,1650982.3273670848,402998.4762742733,45569.99269472063,634418.3030294869,29728.884933823363,2339493.760995084
42387.78235390176,49464.95143220184,74048.9264922411,976877.9025405578,3857019.9807493687,579186.5900224202,1106888.6999551654,401783.0224550086,59752.68577051682,511964.0110999544,25233.509466580348,2431860.7123196595
39340.34299341003,48973.65374352121,57698.7463640964,86273.69127698998,3366380.6423628856,1353067.6046810767,562795.0725432457,318181.1998791356,180589.45021088544,389509.71917042194,16400.646328727413,2324899.8878042144
32400.681255697906,48482.35605484058,41348.5662359517,92581.25888306025,3117054.227711401,7790285.703612013,18701.445131326083,308627.9281520297,160860.25275409574,267055.4272408894,27094.69103525828,2015346.813332376
33906.38498245021,47991.05836615995,24998.38610780699,1942600.966515124,2430466.4106278345,658910.5693022375,46406.494970312735,343651.41964876006,122054.100856894,144601.13531135683,37788.73574178914,1789406.843347703
29645.26009049901,47499.76067747933,8648.205979662294,3390449.246496703,2394629.633729908,752114.4187098253,74111.54480929939,332400.77302823326,97757.75842410976,371841.1504863307,48482.78044832,1783756.3105461102
32258.13417485472,47008.462988798696,7651.916337011342,225894.57602871023,2408950.261580818,2649478.964555839,101816.59464828605,269076.40530245856,125898.73047445384,599081.1656613045,202677.8872388253,1709370.5373544393
38886.550738440834,46517.16530011807,6655.626694360391,1002766.3021916844,2282276.141932799,1489051.833707357,129521.64448727269,333327.6270159118,136008.4478731646,826321.1808362784,356872.9940293307,1669996.228497637
56848.35570767783,46025.86761143743,5659.337051709438,,2290056.473146572,1544767.6034005675,157226.69432625934,347171.72279418405,169713.51346159985,1053561.1960112522,511068.1008198359,1497833.766854197
22251.653075296075,45534.5699227568,4663.047409058487,,2262482.342323231,701884.1345178282,184931.744165246,389149.0161230651,284249.37675117,1280801.211186226,665263.2076103413,1568969.79272662
70962.21852742016,45043.27223407617,3666.7577664075343,,2211324.2634528843,430982.15589545947,215807.5867270553,460799.8815042252,592373.9947678938,1508041.2263611995,504292.5738489276,1446064.6176817825
87798.66119532978,44551.97454539554,2670.468123756582,,2530282.436484557,554277.9285225619,246683.42928886463,478863.9448749573,450343.8857176994,1735281.2415361735,343321.940087514,1444292.772017837
65619.19037141498,44060.67685671491,26843.824295369617,,1847770.7918185908,405556.3345394386,1700331.2534764465,520347.3232712132,526715.1386176562,1962521.2567111475,342738.9677290868,1389774.8266269902
218637.266779934,43569.37916803429,51017.18046698265,,1652121.3934094878,236983.28546193577,3153979.077664028,537789.7858596796,899863.4829813817,2189761.271886121,307098.99428876914,1300887.3136226109
84757.82157524943,43078.081479353656,75190.53663859569,,1531958.7625545403,304874.35970363294,4607626.90185161,543407.4658128051,561981.9876270222,2417001.2870610952,271459.0208484515,1293408.9855665995
72325.62983879882,42586.78379067303,428894.8822264029,,1618871.8391359283,847885.923078832,518457.7644138553,753401.9245637564,547925.5968996019,2644241.302236069,375249.1466790209,1124428.4631210156
7791.701711151137,42095.4861019924,440951.8137118561,,1603915.711977503,332423.45016733377,702429.0342751865,755604.6396304733,498369.71759814967,2871481.3174110427,187555.37848859467,1371995.4770910854
53643.68563338404,41604.18841331176,453008.7451973093,,1599034.3737174498,765055.0380468922,914348.2779189412,883630.7266729436,734349.0529008723,3098721.3325860165,699737.4174169431,3297109.630296392
34871.99208454321,41112.890724631136,465065.67668276245,,1608897.046619478,610066.8602867245,913637.9104845618,654876.6805787412,363096.273726145,3325961.3477609907,191617.3498146762,1310952.2597152374
73839.69705125937,40621.59303595051,477122.60816821567,,2241987.134846099,296698.46319294994,912927.5430501824,565414.4503961651,82490.51152452816,3553201.3629359645,291955.799736878,1234427.243895975
36545.59025145063,40130.29534726987,489179.5396536689,,1538422.9375646668,177571.5638502525,912217.175615803,469406.4347730213,575340.3921524242,3780441.378110938,204798.7304648152,1393037.8745773933
29326.3591824177,39638.99765858925,501236.4711391221,,1506752.7301028678,139953.55595742457,911506.8081814236,421384.96319235367,328058.31786471244,118224.28599911272,40705764.41738837,1379512.653419976
29191.677823032223,39147.699969908615,704749.9840368923,,1556379.383344832,2284609.861089202,910796.4407470442,225205.156152896,351172.5153587156,1766767.8599142125,44740001.41230617,1453986.3185100893
27601.71830226173,38656.40228122799,8577091.065067546,,2177883.071208262,489597.186274652,910086.0733126648,134126.68619894487,144484.01457354968,3415311.433829312,218365.91614382804,1366627.0491407004
26447.63775570784,38165.10459254736,877007.2732566133,,1652174.2376812,189098.01322574448,909375.7058782856,128574.96296370904,119897.31374991036,5063855.007744412,191807.19160135783,1257632.3637947594
32467.021729749096,37673.80690386673,39240.506013047285,,2126539.5575088942,188366.1225578013,908665.338443906,149146.9019172308,125870.48279645138,6712398.581659512,173263.54444410207,1218883.9606343298
39391.56805254703,37182.5092151861,30048233.90212001,,2496333.644124454,200596.69061358587,907954.9710095266,93694.23282842242,126650.99736414764,8360942.155574611,256129.85570939264,1219643.6427931013
33484.61039849642,36691.21152650547,4844744.363627455,,2109349.5887491736,2921495.582278058,907244.6035751472,123770.8532140947,29458.34870164735,10009485.72948971,239921.5503927422,1240212.1914819162
38577.00484218104,36199.91383782484,6955.774579441171,,2144587.0841795346,2625313.292620742,906534.2361407678,329216.8965292715,38557.54368732531,11658029.30340481,244110.9590797946,1231476.0776335665
78541.36763652532,35708.6161491442,194988.22328788703,,2172506.5374364424,182179.57926178223,905823.8687063884,448779.2888042855,7025.678810271505,13306572.87731991,75991.47978556543,1226571.3435429174
39979.04547769609,35217.318460463575,383020.67199633294,,2075534.823508649,550285.3332084835,905113.501272009,505096.6811478688,9358.91323341386,14955116.45123501,325010.99366021453,1320031.2335299605
38362.477500808,34726.02077178295,571053.1207047788,,1985794.375885904,166883.86030086197,904403.1338376296,550983.5650973017,9465.3610871194,7929409.417936392,221898.1567446352,1245803.3736193462
45568.94718301512,34234.72308310232,536001.5149698739,,2015178.772637194,1217866.7544281322,903692.7664032502,612675.7421633697,10165.734346700798,903702.3846377744,291696.8769116324,1354638.4046248458
69467.32693324251,33743.42539442169,275924.8418168961,,2102657.963427714,236613.4497394052,902982.3989688708,592567.7653601872,75044.6397426116,23544364.14159526,302493.5749022496,1270172.5883070163
52932.91997444763,33252.12770574106,15848.16866391824,,1853514.191661472,204813.6676686747,902272.0315344912,596280.2414822269,116160.20868080958,46185025.898552746,301378.203950894,1228117.8892664989
54808.30751460388,32760.830017060427,4815.951915991568,,2018260.9295593868,346565.93371021585,901561.664100112,607678.5245394851,227864.02151492093,68825687.65551023,363820.2138135204,1147373.7453098504
65705.07902564653,32269.5323283798,7716.263899804657,,1750683.7878593178,2714372.399954021,900851.2966657326,606296.2841047627,306230.6200427192,270285.8701281092,426262.2236761467,1244073.6675670673
55698.32988012189,31778.23463969917,28877.88379541648,,2316398.2415296943,258728.00334986832,900140.9292313532,614522.7259857024,288130.51550019137,32663.63370273838,401543.8083198395,1156635.5398911557
34872.662868557105,31286.936951018542,50039.50369102829,,2462846.604863488,345944.1102160123,899430.5617969738,508959.6419749323,271628.0288855081,26567.34932205319,520682.4416090867,1143086.426925642
30983.24397264765,30795.639262337914,71201.12358664013,,2487581.579455407,397357.633365875,898720.1943625944,465499.6908126813,225425.90064839384,688570.1888696606,924732.230918767,1138090.0943953325
29536.03208351912,30304.34157365728,1024132.19187667,,3030974.993575101,2695623.613605472,898009.826928215,481632.6426601422,310305.678354502,28106.67981103425,627381.8613890586,1220450.3721866242
36650.56167217736,29813.04388497665,1977063.2601667,,2694134.3196912683,386395.96356300265,897299.4594938356,639964.4252022558,297949.106749401,112089.02092756452,437152.8451239909,1078695.5060228386
59678.28331981409,29321.74619629602,2929994.32845673,,,474693.80553221545,896589.0920594562,2487583.0503432075,504112.92804111046,137408.36125526403,531058.262387471,976007.1935171118
52457.26832384622,97338.58573381948,3882925.39674676,,,362281.1211121166,3701437.6262492426,1457121.0790739583,371709.5943071688,106287.10859998711,358880.3783156722,1063649.1913065414
80951.35108728663,165355.42527134292,4835856.46503679,,,549075.9463523846,6506286.160439028,1693367.7448036904,133868.01335644,60517.56759404661,286948.63349125744,1200998.268907427
18439.90238585877,506400.8132106505,5788787.53332682,,,457936.8977427586,9311134.694628814,2039697.290315408,84857.32807800526,48021.18282591548,279921.8607727191,995463.3815613696
18553.97531527948,265871.1011403537,10437374.523397475,,,431436.394877084,12115983.2288186,2404729.572372628,35846.64279957051,35438.33678780248,1022091.0775158444,1019716.7415611245
37898.17182632663,25341.38907005692,7846261.024198756,,,425115.5647678661,14920831.763008388,2367590.9088407177,204736.2631191651,43046.02188356085,270018.73633643886,1139754.695684102
