Amplitude_Skewness,Amplitude_Skewness.1,Amplitude_Skewness.2,Amplitude_Skewness.3,Amplitude_Skewness.4,Amplitude_Skewness.5,Amplitude_Skewness.6,Amplitude_Skewness.7,Amplitude_Skewness.8,Amplitude_Skewness.9,Amplitude_Skewness.10,Amplitude_Skewness
-2.18876683809197,5.214299414663908,1.662459808105599,2.342112902677725,2.715622122313077,4.591412025865406,2.328817736246977,-0.0490885775247393,4.144490339803392,-0.7499434491484231,2.491765094446664,-2.0169005471866344
-1.5170078484773952,5.992988156218332,2.728073575118603,2.7369855452868435,3.752716352299528,5.802393116712539,3.371777097397399,3.320906284700489,5.218531693033168,1.950570151411004,2.9260821571453626,1.3571885367106298
2.810513668515951,6.644657626624015,3.2519202216842813,2.927361412893893,4.590109087591562,6.2159539121957845,4.068566879339639,5.083691970758682,5.816061088756458,4.948901588516885,3.389709836243965,4.444289063587307
4.366284761214114,6.226596854504136,3.140352885294345,2.7538076127679925,4.276437798613153,5.350430106081592,3.771151866219809,4.5002510060186,5.195009873539256,4.063974631690756,3.317475650233454,3.9460494036086415
4.586955090128677,6.151489393413121,3.2109692552846485,2.7730653153224503,4.78577883889189,5.691859099215989,3.9649942781883367,5.60788598925278,5.726715747243711,4.9605990928030845,3.428728836631936,5.177772637807773
2.228023803430148,5.799287866626557,3.3511593014425927,2.781066084874692,4.784104754791143,5.62573698765565,3.6875657759601657,4.06667189040552,6.056581636504517,3.926895996698012,3.431861311052053,2.1933105521859115
-0.3787336207671925,4.229643176984141,3.1977906447405213,2.572953984286611,2.1065462478112136,4.4291061906456966,2.4331909290873868,-0.2838418897448154,5.51403037328281,0.0919402409336685,2.875132310786974,-1.6756472491656322
-1.2822723947162211,2.115388373415808,2.686371076055676,1.865570159752293,-1.0089009175903314,2.5231878527366995,0.9389830862586256,-2.0649361551516847,3.857814349419576,-1.753060540925521,1.776933315958563,-2.48800840456515
-1.6008567382774106,0.5621367439018617,1.996917732380513,0.7475667842003738,-2.391987315255537,0.9536713711500108,-0.1560987618233152,-2.554935669675084,1.8264357173513053,-2.344605327740264,0.7731629400004523,-2.700501979801035
-1.7150434936453436,-0.2335491196111074,1.377249138865113,-0.1704380326553811,-2.86003412530882,0.1328811614893978,-0.7738855320248985,-2.700901987497889,0.2560968811835469,-2.5514810281144515,0.162182708849491,-2.772203289316101
