Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
34501,13.79035276,30.70297604,6.54852646,46.91825718,6.261976218,13.33052225,6.268069199,45.54567749,329.3424095,773.3684554,6.411174132,46.90052931,15673449113,17745460716,2.822274073,9.449610959,2.842596325,3.748238329,2.866191588,9.48256886,3.953670797,12.85359047,6.662891659,46.17387181
35001,14.49288546,36.97598513,6.569055917,45.79218553,6.882454567,18.53002202,5.044866457,26.79638992,347.7748082,934.8803503,4.783825812,23.24744792,15831534109,19007611388,3.436374562,14.74745699,3.119750658,5.216878475,4.999742949,30.99486418,4.021769748,12.19062014,6.681938522,46.71474198
35501,14.84691494,36.22071567,6.238321528,41.48069255,8.694336804,26.98822994,5.261085661,28.96833587,414.1272491,1293.67197,5.220694962,28.3619621,20126087355,27040259488,3.123405475,10.7893272,4.08791768,7.798051783,4.807687325,27.04124864,4.20569293,12.99251871,6.821048316,48.95068343
36001,12.65284241,25.52792343,6.393081,45.72199811,7.609491412,15.51489117,3.805413431,16.1902346,370.4520753,706.9887691,3.386003443,12.06427176,4.42759E+11,6.95057E+11,1.731302741,1.671145044,4.485237813,8.643599753,4.535230256,23.70518984,5.398372528,17.6707849,6.2831018,40.95704582
36501,13.25117595,27.66780954,6.14316801,42.57408591,14.97849312,25.03104183,2.422736901,6.398833211,807.4781777,1344.902274,2.275632643,5.170931664,1.76074E+12,2.76556E+12,1.650376052,1.321610182,7.733524667,19.99680225,5.572001878,35.55221354,5.347407506,12.23476911,4.057132095,16.32681427
37001,14.69510486,37.35747602,6.382250772,43.25309062,21.85097014,35.60166206,1.941825293,3.222154611,1204.208459,2013.009379,1.959314056,3.101830793,2.8942E+12,4.36859E+12,1.495259046,0.777923196,18.00504125,53.7838114,4.803387625,24.36065038,4.566873816,10.37105252,5.474457494,34.96538216
37501,14.21549921,32.80794611,5.983528701,38.99467677,20.41903392,41.52486663,3.367418307,13.00121197,1148.705501,2441.799394,3.54626932,14.43245047,2.34413E+12,3.77703E+12,1.856311827,2.687221461,14.38304242,36.55037503,4.060688571,17.31962477,3.98436629,10.02517322,5.987150033,38.98503819
38001,12.87322153,27.21231478,5.818755556,37.95191808,12.09565684,23.03085791,4.149872006,18.68292116,435.5535066,1061.807302,4.378358139,20.53419667,6.35346E+11,1.02526E+12,2.003000553,3.773885036,8.441498382,22.60786816,5.719115353,37.09487148,4.218161521,11.27249969,4.791479815,22.9236353
38501,12.78024861,31.07435868,6.642795939,47.10746389,22.3655586,35.32521035,6.570581731,44.15054432,218.4530871,332.2136907,4.054311541,18.55257458,25923310324,58072422298,5.585008852,37.22393945,7.441779485,10.03547452,4.261233354,22.4716319,3.395428593,5.16297854,4.70586804,26.65231855
39001,14.81630672,36.1612944,6.301019978,42.48466682,47.6827262,73.33992662,6.853501945,47.71878855,339.8076582,582.5056529,4.801983792,25.55114918,16826814190,30144613217,3.801305658,15.85092014,11.73158955,14.25050588,3.770352702,18.00785858,5.15012375,6.334520632,3.69208973,17.2994999
39501,12.73420356,29.03908323,6.216684254,42.59444281,72.69651029,83.10297766,6.833679516,48.06286174,278.1093436,378.9872186,3.820209533,16.87656936,11347529164,22503031704,4.314054269,18.56007832,9.903312742,9.709310209,2.571522445,9.772557815,5.282847347,7.641091291,4.283825656,22.07136941
