Specimen #1,,Specimen #2,
Crack density,Cumulative AE energy,Crack density,Cumulative AE energy
[mm-1],[eu],[mm-1],[eu]
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.7125,4.71E+09,0.7625,2.96E+09
0.725,4.71E+09,0.7625,2.97E+09
0.725,4.79E+09,0.7625,2.97E+09
0.725,4.79E+09,0.7625,2.97E+09
0.725,4.79E+09,0.7625,2.97E+09
0.725,4.79E+09,0.7625,2.97E+09
0.725,4.79E+09,0.7625,2.97E+09
0.725,4.79E+09,0.775,2.97E+09
0.725,4.79E+09,0.775,2.97E+09
0.725,4.79E+09,0.775,2.97E+09
0.725,4.79E+09,0.775,2.97E+09
0.725,4.79E+09,0.7875,2.97E+09
0.725,4.79E+09,0.7875,2.97E+09
0.725,4.79E+09,0.7875,3.01E+09
0.725,4.79E+09,0.7875,3.01E+09
0.725,4.79E+09,0.7875,3.01E+09
0.725,4.79E+09,0.7875,3.01E+09
0.725,4.79E+09,0.7875,3.01E+09
0.725,4.79E+09,0.7875,3.01E+09
0.725,4.79E+09,0.7875,3.01E+09
0.7375,4.79E+09,0.7875,3.01E+09
0.7375,4.79E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.7375,5.01E+09,0.7875,3.01E+09
0.75,5.01E+09,0.7875,3.01E+09
0.75,5.10E+09,0.7875,3.01E+09
0.75,5.10E+09,0.8125,3.01E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.10E+09,0.8125,3.02E+09
0.75,5.19E+09,0.8125,3.02E+09
0.775,5.19E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.38E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
