RMS_envelope_Impulse_factor,RMS_envelope_Impulse_factor.1,RMS_envelope_Impulse_factor.2,RMS_envelope_Impulse_factor.3,RMS_envelope_Impulse_factor.4,RMS_envelope_Impulse_factor.5,RMS_envelope_Impulse_factor.6,RMS_envelope_Impulse_factor.7,RMS_envelope_Impulse_factor.8,RMS_envelope_Impulse_factor.9,RMS_envelope_Impulse_factor.10,RMS_envelope_Impulse_factor
1.291853306186162,1.0563725022537611,1.3420717025662083,1.2610675726926928,1.4897394714314274,1.5502279497976157,1.045420712923243,1.491023125605829,1.2531326358303017,1.022002145421451,1.4533703778179394,1.7977547305732515
1.383780053715843,1.0564158867268905,1.369394902109361,1.3470878614974298,1.4604103357026117,1.6107909362438153,1.0633454889812748,1.2310539688224285,1.2909052745950529,1.017246466709413,1.941202207797556,1.6573476943902303
1.362865034106066,1.0564592712000198,1.3967181016525134,1.2941138374491368,1.4392011986408044,1.2556515459636732,1.0812702650393065,1.2502374642843088,1.8160429562812472,1.0113156371934244,2.138004340681353,1.6640171823671557
1.3143204992479656,1.0565026556731492,1.424041301195666,1.3666998852726684,1.5299092001507075,1.4797231939226154,1.099195041097338,1.278804075122043,1.4762877759736746,1.0222207583995735,2.3356164019697685,1.9310653321991744
1.345221938915698,1.0565460401462787,1.4513645007388185,1.3139676937503768,1.4881856885764464,1.5121199447068023,1.11711981715537,1.0873569295840018,1.230522720000175,1.033125879605723,2.1781551048624195,1.7368204328433856
1.3643143206606287,1.056589424619408,1.478687700281971,1.2218105357311324,1.4629051538028226,1.6117936081274278,1.1350445932134017,1.202785057310441,1.9258505141876665,1.03216599495452,1.9958735059099084,1.7977339630987994
1.2822607984862318,1.0566328090925374,1.5060108998251236,1.3763983752261593,1.487837635210237,1.6987805147583943,1.1529693692714336,1.282396019144032,1.5951714421135563,1.031206110303317,1.710490575023703,1.7681406651163232
1.2942379592140902,1.0566761935656668,1.533334099368276,1.7017487508042175,1.467514261295341,1.9030878865314744,1.1708941453294652,1.2478451969626994,1.4943722585767862,1.030246225652114,2.4752230844792664,1.9186124970123937
1.3104980046804766,1.0567195780387963,1.5606572989114285,1.5561457931129916,1.590573497063391,1.6669652964004271,1.188818921387497,1.2132943747813665,1.377916710869589,1.0292863410009108,1.5646963817230697,1.6791357750604594
1.2609236367974352,1.0567629625119257,1.5879804984545811,1.4288786812152543,1.4217262335127083,1.502620755909836,1.2067436974455288,1.273243452218049,1.828079139743507,1.028326456349708,1.2344870735974918,1.8283072410560528
1.2977771083072192,1.0635450729928009,1.6153036979977335,1.3492233601628687,1.6203260561148327,1.6374372028695408,1.2246684735035605,1.4281804724067046,1.4524947847203395,1.0273665716985048,1.4460478075340584,1.9959440631713803
1.2754073889207416,1.070327183473676,1.6426268975408862,1.510923323162659,1.5266325403979348,1.6179467338343412,1.2211107664502483,1.393576628544993,1.1833510370303646,1.026406687047302,1.3260497308108814,1.944600015420184
1.2727347217729046,1.0771092939545512,1.6699500970840386,1.3936249366509923,1.5221445443589268,1.5102705215262873,1.2175530593969366,1.345288837378393,1.2870495722319626,1.0254468023960988,1.306765534215593,1.75254741336995
1.2686041241499486,1.0838914044354264,1.6128520874257355,1.3785600740651962,1.518101158431127,1.4855433035771697,1.2139953523436249,1.159399896859695,1.868336954631885,1.0244869177448956,1.326274844019352,1.7524333911823973
1.325256361424956,1.0906735149163016,1.5557540777674324,1.4529462846666898,1.5617999358593009,1.481825195700898,1.2104376452903125,1.6903887366340034,1.285864457537117,1.0235270330936928,1.37016457756239,1.6689214144252706
1.36713232866874,1.0974556253971768,1.4986560681091292,1.4608753485867134,1.458227713161688,1.3859896799390374,1.2068799382370006,1.4920818904843798,1.0739192583881494,1.0225671484424896,1.509578978191792,1.6163167017859794
1.4215765214671856,1.104237735878052,1.441558058450826,1.495573420889116,1.6823753768445202,1.496977297228705,1.2033222311836886,1.2595718494082906,1.3455875338535273,1.0188602645464748,1.4383899959267978,1.6280862244791183
1.3967668892224467,1.1110198463589271,1.3844600487925232,1.445888790543901,1.5117456180062694,1.5952987940915972,1.163599092319465,1.0016428803377715,1.522174892578498,1.0258501018632575,1.4070790388616885,1.7172317373851087
1.4459796521508907,1.1178019568398023,1.32736203913422,1.559259957249195,1.5396692486725247,1.6083807864260131,1.0400187051510288,1.1744872268256776,1.0997094254292237,1.03283993918004,1.3194825268922208,1.6784065959657428
1.3449234062650564,1.1245840673206775,1.2702640294759169,1.567136493001227,1.6470666373551628,1.5647224597278204,1.2643849864175156,1.1819030079939898,1.3392693759436511,1.031691606359782,1.2583319474848087,1.708794761575262
1.4010494537647709,1.131366177801553,1.2131660198176135,1.481002939827399,1.7131654234099232,1.431725070683696,1.0947936606963542,1.33736239163438,1.056414097708713,1.0305432735395237,1.2917573364988968,1.716729716607189
1.415427380782437,1.138148288282428,1.1560680101593106,1.4927926898332096,1.535714868027204,1.584271492372625,1.0530611441347213,1.1250062258867464,1.2083614331319368,1.0293949407192655,1.4061221063735925,1.7469482072849452
1.4330400939172272,1.144930398763303,1.0674272389038335,1.8894905216745408,1.5091121135450214,1.829297498485748,1.0113286275730884,1.1336424831137364,1.162923243075506,1.0282466078990076,1.4230568792435228,1.6657045047086856
1.5500320274946688,1.1517125092441782,1.1221971983389083,2.327998545612807,1.628800575658776,1.5159501243236817,1.1212048765619778,1.2007788459715467,1.3046416420678837,1.0229900312454698,1.4440338362569902,1.5857733831860998
1.6423896711514785,1.1584946197250534,1.176967157773983,1.5260886875752275,1.724427362347946,1.2670786618721055,1.1043658409984112,1.1353049269316726,1.2148500022442754,1.017733454591932,1.447140687537126,1.5215050547708977
1.403591356283626,1.1652767302059286,1.2431628465906055,1.570357229148912,1.7314417071023975,1.3110914669963656,1.0875268054348446,1.1386535324125528,1.1688936132052268,1.016810733190115,1.4808873376734102,1.6627379073967925
1.4113930554313812,1.1720588406868038,1.3411121380237176,2.036040723551019,1.7405847393959322,1.4965887580763226,1.0706877698712782,1.1762763060896255,1.32077269492277,1.0871438052567504,1.4188739664267664,1.578728466808915
1.577212591020458,1.178840951167679,1.19591941276887,1.6520616787399485,1.7673558507597484,1.5257594930585687,1.0538487343077116,1.060442791784142,1.2839172992200436,1.157476877323386,1.4382144035741389,1.4211893548520278
1.3652506975127443,1.185623061648554,1.1020599578311607,1.8836190747469723,1.9408006711992567,1.4839494379415752,1.0521748582605983,1.3551318589942671,1.3051381180319648,1.2278099493900214,1.4010143995496356,1.5761180101922567
1.4447913957213965,1.192405172129429,1.100210485571605,1.3213929286620154,1.8979067390903688,1.5464526787967927,1.0505009822134854,1.1428470892506235,1.8158855066554824,1.2981430214566567,1.107363231296472,1.5678313585996295
1.4774035917782151,1.1991872826103045,1.0983610133120494,1.2264466822125373,1.9000661855581693,1.3027692953388994,1.0885072516118597,1.2706029213208825,1.4866858848479183,1.0585640591461272,1.1530152983051178,1.6480446501816528
1.668185920640205,1.2059693930911797,1.0965115410524937,1.3503945534520414,2.096390714155651,1.274376619074225,1.2118241008829929,1.48751133325745,1.450808921593706,1.0247530208327564,1.377501601587875,1.557927831050946
