Counts_envelope_Crest_factor,Counts_envelope_Crest_factor.1,Counts_envelope_Crest_factor.2,Counts_envelope_Crest_factor.3,Counts_envelope_Crest_factor.4,Counts_envelope_Crest_factor.5,Counts_envelope_Crest_factor.6,Counts_envelope_Crest_factor.7,Counts_envelope_Crest_factor.8,Counts_envelope_Crest_factor.9,Counts_envelope_Crest_factor.10,Counts_envelope_Crest_factor
2.246265222547767,1.213368313520129,1.0813687827025174,2.5428082493314306,1.106457135673384,2.610971241058256,1.7267891490316185,1.5576843004882046,1.6032750815617791,1.2635945588714834,1.9573965601668977,2.432193180687364
2.514555697732971,1.2272601498818818,1.0845458688270715,2.0595574597358928,1.3679638528975364,2.199068935114919,2.0822915344252024,2.68969441750668,1.4045377889379576,1.4065019005234398,2.6784802285030223,2.5824793115599074
2.152678756825476,1.2411519862436349,1.087722954951626,2.774630643512568,1.3680763263836038,1.689498643008796,1.9437765869314043,2.574602283629275,1.5174704365998806,1.3864652556777368,2.661701947056464,2.317703200366436
2.405903749972929,1.255043822605388,1.09090004107618,3.330739524281744,1.2558467052880462,2.2528607319578224,1.8052616394376064,2.069148995826432,1.7128241201132537,1.366428610832034,2.923867763037076,2.953636404138253
2.4746587054373643,1.268935658967141,1.094077127200734,3.7054163074223503,1.4133210794159237,1.5892843561561372,1.666746691943808,2.127209587373758,1.485622604533606,1.346391965986331,1.702316682197346,2.4429191271356463
2.6992149046832528,1.282827495328894,1.0972542133252885,2.1935793740562586,1.394507018896366,2.34113579165823,1.52823174445001,7.874243603778933,1.6720699515672577,1.326355321140628,3.392142247633791,2.6715699429430506
3.1045913819635507,1.2967193316906471,1.1004312994498424,2.461007375600264,1.372739741513298,1.6575728470664557,1.389716796956212,2.306136465978853,1.355343410573564,1.306318676294925,2.1737083858061808,2.492728875149629
2.024525169410982,1.3106111680524002,1.1134411782383065,2.335562402728657,1.4325678537967272,1.532247610249237,1.2512018494624138,3.92819040332957,1.4348627094841662,1.2862820314492225,3.702130805350719,2.9164287715618844
1.5826867685484154,1.3245030044141533,1.1264510570267705,2.4197873419995446,1.3520130338895615,2.0107252253747503,1.2419514979773885,1.8339035615154755,1.703886773187315,1.2662453866035193,2.306617027104155,2.370039411341117
1.653840956755978,1.3383948407759063,1.1394609358152343,2.338225432272817,1.437803227095832,1.4692520996847067,1.232701146492363,2.302467639608253,1.5098370729112596,1.2462087417578165,2.232707690696293,3.25475856080789
1.947271995560644,1.3522866771376594,1.1524708146036982,2.0670770640616976,1.3369186041257326,1.3323638048531448,1.2234507950073374,2.033240809568868,1.877409593572087,1.2261720969121137,1.4617019346986015,2.4009087930269013
1.90209415530626,1.322144282970278,1.1654806933921622,2.584059062038042,1.6186313280591056,1.3267724736181383,1.2142004435223122,1.646651902913527,1.3212388405115605,1.2061354520664105,2.412281157207249,2.2590241871766774
2.0313118145674744,1.292001888802896,1.1784905721806265,2.1922624727329603,1.347601247576182,1.5664512853084644,1.1953462669335246,1.7963630644228032,1.980994483736976,1.1274150705592532,3.0786099453541063,2.756001929220226
1.593477274778637,1.2618594946355146,1.19150045096909,1.7544117473887697,1.3608777761303827,1.16519353496064,1.1764920903447371,1.665887253253702,1.602688989162959,1.0865006875306982,1.7106122776872663,2.396728738186928
1.6238316008951414,1.231717100468133,1.204510329757554,1.8396716679772789,1.2837492205839576,1.5574483310704723,1.1576379137559498,1.3575033577402364,1.5646482609313257,1.181630177240495,2.1043914580273864,2.2484860149142207
1.2547935519919853,1.2015747063007516,1.2175202085460182,1.771216730826494,1.3259813737968495,2.2293932652341986,1.1387837371671623,1.764595519113733,1.8811318364963407,1.213895541382401,2.0825289550421,2.5715425766465354
1.554795856345531,1.1714323121333698,1.230530087334482,2.1585826884091976,2.334396355203507,1.735440780511109,1.1199295605783748,1.146294718389216,1.3525429366480617,1.2461609055243072,1.7104689985029644,2.3306697083861496
1.3352832969435142,1.1412899179659883,1.243539966122946,2.843806869573565,1.2565762752420526,1.6974017809960382,1.1010753839895873,1.5053630983186888,1.8757085641123168,1.2647434503804262,1.7574016543187627,2.3649366616165217
1.302832979765243,1.1111475237986068,1.25654984491141,3.276786460940602,1.3674610630050132,3.408671873518498,1.0822212074007995,1.4769856382772808,1.40536248923141,1.283325995236545,2.120012985739474,2.620529338567639
1.607292928872709,1.081005129631225,1.269559723699874,2.717681928346455,1.3864695447008424,1.6196450996568237,1.0633670308120124,1.5278088303582325,1.6127009691462728,1.301908540092664,1.9191023187210603,3.0532685399784616
1.3424675886102335,1.0508627354638436,1.282569602488338,2.548590150685,1.28319047448161,1.496639809454725,1.044512854223225,1.578632022439184,1.141579283001986,1.3204910849487828,2.011208118667739,2.8101388946474537
1.3595001305677796,1.020720341296462,1.2955794812768018,3.105672082287985,1.3515121106316,1.688800273604771,1.0256586776344374,1.5734508785989951,1.463394529573885,1.3390736298049015,2.129979323148101,2.021148670052313
1.5737790661430573,1.0390017427651037,1.3085893600652658,2.9475799096063464,3.0534533320483126,1.717488821499616,1.00680450104565,1.7882113891874782,1.3241385259433838,1.3576561746610205,1.7363138560318614,2.042618065756
1.660538028295595,1.0572831442337451,1.3215992388537297,2.9057018175726115,1.8731521810240144,1.5331352215161604,1.029378299625468,1.8181591426657064,1.0626413351888142,1.3762387195171395,2.211970142013358,2.548635948834809
1.5215709832618964,1.0755645457023868,1.3346091176421937,2.648290621588661,1.4420111101423885,1.5352595339439532,1.0519520982052866,2.1556980466124,1.2816183771366874,1.3948212643732585,1.5895933824711594,2.0305400936143805
1.896238583428048,1.0938459471710285,1.3285835580235337,2.8877727610159125,1.4821908121067466,1.8830192642258377,1.0745258967851048,1.990999242102708,1.3260863295466754,1.4134038092293773,1.5086206520609318,2.3619923406314247
