Energy_Variance,Energy_Mean,Energy_P13,Counts_Variance,Energy_P10,Duration_Variance,Amplitude_Standard_deviation,Duration_Mean,RMS_Mean
-0.2291234051396196,0.9594858724713322,-1.4771262057660963,-0.2209563485239144,-0.2420332054013101,-0.2274197961804518,-0.1594138897855401,-0.7539330472051939,0.1555854426257407
-0.2282483278581354,0.9357663242571888,-1.4830367144181067,-0.2201153936404638,-0.2411035110902946,-0.2265518635743152,-0.1548571389607649,-0.747433342746847,0.1543942567230569
-0.2273832009852173,0.9123900387335228,-1.4888085221442162,-0.2192839682081023,-0.2401844485117666,-0.2256937929389271,-0.150242898165843,-0.7408932156701892,0.1528686766455858
-0.2265278373641578,0.8893343765041195,-1.4944446345805729,-0.2184618936009803,-0.2392758165623935,-0.2248453989152454,-0.1456014628594276,-0.7341471878555924,0.1511736857562188
-0.2256820547297675,0.866578228865763,-1.4999480209542433,-0.2176489958459548,-0.2383774194243901,-0.2240065009852831,-0.140957707315824,-0.7271270885168097,0.1494025708846606
-0.2248456755452221,0.8441018888174725,-1.5053216122480153,-0.2168451054679238,-0.2374890663882399,-0.2231769233107526,-0.136331362820426,-0.7198834421610746,0.1475744224469642
-0.2240185268455113,0.8218869355379105,-1.5105682995659184,-0.2160500573413993,-0.2366105716826296,-0.2223564945782361,-0.1317359411968423,-0.7125943096463968,0.1456175786563155
-0.223200440087176,0.7999161307203186,-1.515690932688551,-0.2152636905480227,-0.2357417543112532,-0.2215450478505697,-0.1271812858614426,-0.705547521672562,0.1433712345170371
-0.2223912510040384,0.7781733253730045,-1.5206923188074843,-0.2144858482397437,-0.234882437896159,-0.2207424204241521,-0.1226786044864719,-0.6990986310258845,0.1406072281717648
-0.2215907994686442,0.7566433758789196,-1.5255752214283598,-0.2137163775073984,-0.234032450527334,-0.2199484536918968,-0.1182464568965551,-0.6936104821329211,0.1370700040902215
-0.2207989293591512,0.7353120682658872,-1.5303423594324732,-0.2129551292544372,-0.2331916246182311,-0.2191629930115693,-0.1139170056916942,-0.6893798331464438,0.1325320247574198
-0.2200154884314133,0.7141660497739009,-1.5349964062870318,-0.2122019580755651,-0.2323597967669667,-0.2183858875792595,-0.1097410062993158,-0.6865577822696766,0.1268587636102302
-0.2192403281960223,0.6931927669214449,-1.5395399893945705,-0.2114567221400699,-0.2315368076229251,-0.2176169903077542,-0.1057894565297981,-0.6850771410791341,0.1200700199129261
-0.2184733038000814,0.6723804093719692,-1.5439756895723131,-0.2107192830796269,-0.2307225017585245,-0.2168561577095868,-0.1021500185235824,-0.6846081032366564,0.1123766858534784
-0.2177142739134971,0.6517178589870453,-1.5483060406526876,-0.2099895058803773,-0.2299167275459088,-0.2161032497845546,-0.0989172631609352,-0.6845676787565274,0.1041711493170051
-0.2169631006195867,0.6311946435264567,-1.552533529196494,-0.2092672587790899,-0.2291193370383432,-0.2153581299115015,-0.0961783060837495,-0.6842018376773142,0.0959609881239028
-0.2162196493098089,0.6108008945192359,-1.5566605943106102,-0.2085524131632247,-0.2283301858561053,-0.2146206647441771,-0.0939998166130221,-0.6827372932991627,0.0882588542803955
-0.2154837885824359,0.5905273088850004,-1.5606896275624955,-0.2078448434747257,-0.2275491330766668,-0.2138907241109926,-0.0924246846649357,-0.6795660536204262,0.0814645732109206
-0.2147553901449927,0.5703651139330136,-1.5646229729840666,-0.2071444271173811,-0.2267760411289826,-0.213168180918501,-0.0914761535954137,-0.6744006449127284,0.0757798229113693
